Ticker,Company,GICS Sector,GICS Sub Industries
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores
ESS,Essex Property Trust,Real Estate,Residential REITs
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
AVGO,Broadcom,Information Technology,Semiconductors
MLM,Martin Marietta Materials,Materials,Construction Materials
DISCK,Discovery (Series C),Communication Services,Broadcasting
URI,United Rentals,Industrials,Trading Companies & Distributors
UHS,Universal Health Services,Health Care,Health Care Facilities
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HCA,HCA Healthcare,Health Care,Health Care Facilities
SWKS,Skyworks Solutions,Information Technology,Semiconductors
HSIC,Henry Schein,Health Care,Health Care Distributors
EQIX,Equinix,Real Estate,Specialized REITs
AAL,American Airlines Group,Industrials,Airlines
O,Realty Income Corporation,Real Estate,Retail REITs
QRVO,Qorvo,Information Technology,Semiconductors
JBHT,J. B. Hunt,Industrials,Trucking
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment
UAL,United Airlines,Industrials,Airlines
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment
NWS,News Corp (Class B),Communication Services,Publishing
VRSK,Verisk Analytics,Industrials,Research & Consulting Services
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals"
SYF,Synchrony Financial,Financials,Consumer Finance
ILMN,Illumina,Health Care,Life Sciences Tools & Services
CHD,Church & Dwight,Consumer Staples,Household Products
WTW,Willis Towers Watson,Financials,Insurance Brokers
EXR,Extra Space Storage,Real Estate,Specialized REITs
CFG,Citizens Financial Group,Financials,Regional Banks
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
AWK,American Water,Utilities,Water Utilities
UDR,UDR,Real Estate,Residential REITs
CNC,Centene,Health Care,Managed Health Care
HOLX,Hologic,Health Care,Health Care Equipment
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services
ALK,Alaska Air Group,Industrials,Airlines
DLR,Digital Realty,Real Estate,Specialized REITs
LKQ,LKQ Corporation,Consumer Discretionary,Distributors
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
TDG,TransDigm Group,Industrials,Aerospace & Defense
FBHS,Fortune Brands,Industrials,Building Products
ALB,Albemarle,Materials,Specialty Chemicals
LNT,Alliant Energy,Utilities,Electric Utilities
FTV,Fortive,Industrials,Industrial Machinery
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
CHTR,Charter Communications,Communication Services,Cable & Satellite
COO,CooperCompanies,Health Care,Health Care Supplies
MAA,Mid-America Apartments,Real Estate,Residential REITs
IDXX,Idexx Laboratories,Health Care,Health Care Equipment
INCY,Incyte,Health Care,Biotechnology
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data
REG,Regency Centers,Real Estate,Retail REITs
DISH,Dish Network,Communication Services,Cable & Satellite
SNPS,Synopsys,Information Technology,Application Software
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage
DXC,DXC Technology,Information Technology,IT Consulting & Other Services
IT,Gartner,Information Technology,IT Consulting & Other Services
INFO,IHS Markit,Industrials,Research & Consulting Services
ALGN,Align Technology,Health Care,Health Care Supplies
ANSS,Ansys,Information Technology,Application Software
RE,Everest Re,Financials,Reinsurance
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
AOS,A. O. Smith,Industrials,Building Products
DRE,Duke Realty,Real Estate,Industrial REITs
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming
PKG,Packaging Corporation of America,Materials,Paper Packaging
RMD,ResMed,Health Care,Health Care Equipment
IQV,IQVIA,Health Care,Life Sciences Tools & Services
SBAC,SBA Communications,Real Estate,Specialized REITs
CDNS,Cadence Design Systems,Information Technology,Application Software
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services
SIVB,SVB Financial,Financials,Regional Banks
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
MSCI,MSCI,Financials,Financial Exchanges & Data
ABMD,Abiomed,Health Care,Health Care Equipment
EVRG,Evergy,Utilities,Electric Utilities
TWTR,Twitter,Communication Services,Interactive Media & Services
BR,Broadridge,Information Technology,Data Processing & Outsourced Services
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services
CPRT,Copart,Industrials,Diversified Support Services
ANET,Arista,Information Technology,Communications Equipment
ROL,Rollins,Industrials,Environmental & Facilities Services
FTNT,Fortinet,Information Technology,Systems Software
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats
CE,Celanese,Materials,Specialty Chemicals
FRC,First Republic Bank,Financials,Regional Banks
TFX,Teleflex,Health Care,Health Care Equipment
ATO,Atmos Energy,Utilities,Gas Utilities
WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks
DOW,Dow,Materials,Commodity Chemicals
DD,DuPont,Materials,Specialty Chemicals
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals
AMCR,Amcor,Materials,Paper Packaging
MKTX,MarketAxess,Financials,Financial Exchanges & Data
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
IEX,IDEX Corporation,Industrials,Industrial Machinery
LDOS,Leidos,Industrials,Diversified Support Services
CDW,CDW,Information Technology,Technology Distributors
NVR,NVR,Consumer Discretionary,Homebuilding
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
NOW,ServiceNow,Information Technology,Systems Software
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance
ODFL,Old Dominion Freight Line,Industrials,Trucking
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
STE,Steris,Health Care,Health Care Equipment
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
PAYC,Paycom,Information Technology,Application Software
IR,Ingersoll Rand,Industrials,Industrial Machinery
CARR,Carrier Global,Industrials,Building Products
OTIS,Otis Worldwide,Industrials,Industrial Machinery
DXCM,DexCom,Health Care,Health Care Equipment
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants
WST,West Pharmaceutical Services,Health Care,Health Care Supplies
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services
TDY,Teledyne Technologies,Industrials,Aerospace & Defense
TYL,Tyler Technologies,Information Technology,Application Software
CTLT,Catalent,Health Care,Pharmaceuticals
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail
TER,Teradyne,Information Technology,Semiconductor Equipment
POOL,Pool Corporation,Consumer Discretionary,Distributors
TSLA,Tesla,Consumer Discretionary,Automobile Manufacturers
ENPH,Enphase Energy,Information Technology,Electronic Components
TRMB,Trimble,Information Technology,Electronic Equipment & Instruments
MPWR,Monolithic Power Systems,Information Technology,Semiconductors
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming
GNRC,Generac Holdings,Industrials,Electrical Components & Equipment
NXPI,NXP,Information Technology,Semiconductors
PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming
PTC,PTC,Information Technology,Application Software
CRL,Charles River,Health Care,Life Sciences Tools & Services
OGN,Organon & Co.,Health Care,Pharmaceuticals
MRNA,Moderna,Health Care,Biotechnology
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services
BRO,Brown & Brown,Financials,Insurance Brokers
CDAY,Ceridian,Information Technology,Application Software
MTCH,Match Group,Communication Services,Interactive Media & Services
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services
FDS,FactSet,Financials,Financial Exchanges & Data
SBNY,Signature Bank,Financials,Regional Banks
SEDG,SolarEdge,Information Technology,Semiconductor Equipment
